RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a013,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,0,,0,,0,,0,,0,,4233275,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a013,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,0,,0,,0,,0,,0,,2231696,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a013,高級中等學校教育經費概況(預、決算數)-預算數-經費來源(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,0,,0,,0,,0,,0,,7219409,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400001,經常支出,0,,0,,0,,0,,4216055,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400001,經常支出,0,,0,,0,,0,,2129704,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400001,經常支出,0,,0,,0,,0,,5917663,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400002,資本支出,0,,0,,0,,0,,193089,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400002,資本支出,0,,0,,0,,0,,101992,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,2037579,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,230040000201,償還借款,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,230040000201,償還借款,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000201,償還借款,0,,0,,0,,0,,228382,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400004,經常支出報廢金額,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400004,經常支出報廢金額,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a015,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,0,,0,,0,,0,,0,,4631696,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a015,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,0,,0,,0,,0,,0,,2205193,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a015,高級中等學校教育經費概況(預、決算數)-決算數-經費來源(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,0,,0,,0,,0,,0,,7185789,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400001,經常支出,0,,0,,0,,0,,4362823,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400001,經常支出,0,,0,,0,,0,,2084315,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400001,經常支出,0,,0,,0,,0,,5934732,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400002,資本支出,0,,0,,0,,0,,209431,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400002,資本支出,0,,0,,0,,0,,60252,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,2111732,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,230040000201,償還借款,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,230040000201,償還借款,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000201,償還借款,0,,0,,0,,0,,341616,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400004,經常支出報廢金額,0,,0,,0,,0,,152212,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400003,折舊、折耗及攤銷,0,,0,,0,,0,,465977,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400003,折舊、折耗及攤銷,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a014,高級中等學校教育經費概況(預、決算數)-預算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400003,折舊、折耗及攤銷,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400004,經常支出報廢金額,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400004,經常支出報廢金額,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400004,經常支出報廢金額,0,,0,,0,,0,,382575,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000101,國立,2300400003,折舊、折耗及攤銷,0,,0,,0,,0,,481232,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,230010000102,市立,2300400003,折舊、折耗及攤銷,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
10440-01-01-2,臺中市高級中等學校教育經費概況(預、決算數),1044001a016,高級中等學校教育經費概況(預、決算數)-決算數-經費支出(單位:千元),2015/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400003,折舊、折耗及攤銷,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:38:58,2017/3/9 下午 01:27:27
